FID,Longitude,Latitude,Mean_HF,Median_HF,MEAN_Annual_Temp,Therm_Cond__W_per_m_K,Z85_Med_HF_km,Z122_Med_HF_km,Z85_Mean_HF_km,Z122_Mean_HF_km,rechargeDepth,Descriptio,rechargeVolume,grid_area_m2,crustTypeFull,crustType,crustTypeMin1,crustScheme2,combined_cv,combined_cr,rechargeShort
2420,131.25,37,99.7099991,96.9800034,11,2.5,1.90760975,2.861414624,1.85538062,2.783070931,complex,complex_20-100_mm/a,low,49367358851,S-,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,complex low
2419,128.75,37,93.9199982,75,9.1875,2.5,2.527083333,3.760416667,2.018007385,3.002888154,shallow,shallow_<100_mm/a,low,49367358851,I1,Archaean_and_Proterozoic,Proterozoic,Craton,Craton low,Craton shallow,shallow low
2418,126.25,37,61.7299995,66,10.35714286,2.5,2.827380952,4.228896104,3.022957142,4.521418194,major,major_100-300_mm/a,high,49367358851,I1,Archaean_and_Proterozoic,Proterozoic,Craton,Craton high,Craton major,major high
2417,123.75,37,67.6999969,61.9099998,11,2.5,2.9882087,4.48231305,2.732644143,4.098966214,complex,complex_20-100_mm/a,low,49367358851,C-,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,Continental_shelf/slope,complex low
2416,121.25,37,61,61,10.6875,2.5,3.045594262,4.561987705,3.045594262,4.561987705,complex,complex_20-100_mm/a,low,49367358851,H1,Archaean_and_Proterozoic,Proterozoic,Craton,Craton low,Craton complex,complex low
2415,118.75,37,66.6200027,59,11.77777778,2.5,3.102636535,4.670433145,2.747756652,4.136228526,major,major_20-100_mm/a,low,49367358851,H1,Archaean_and_Proterozoic,Proterozoic,Craton,Craton low,Craton major,major low
2414,116.25,37,61.0299988,65.6600037,12.85,2.5,2.74710615,4.155878535,2.95551374,4.471161812,major,major_20-100_mm/a,low,49367358851,G2,Archaean_and_Proterozoic,Archaean,Craton,Craton low,Craton major,major low
2413,113.75,37,47,47,9.8,2.5,4,5.968085106,4,5.968085106,shallow,shallow_<100_mm/a,low,49367358851,P-,orogen,orogen,orogen,orogen,orogen shallow,shallow low
2412,111.25,37,71.3899994,67,8.35,2.5,2.860074627,4.240671642,2.68419949,3.979899179,complex,complex_20-100_mm/a,low,49367358851,P-,orogen,orogen,orogen,orogen,orogen complex,complex low
2411,108.75,37,47.4000015,55.25,7.45,2.5,3.509049774,5.183257919,4.090189744,6.041666475,shallow,shallow_<100_mm/a,low,49367358851,P-,orogen,orogen,orogen,orogen,orogen shallow,shallow low
2410,106.25,37,61,65.3600006,6.45,2.5,3.004513436,4.419752101,3.219262295,4.735655738,shallow,shallow_<100_mm/a,low,49367358851,P-,orogen,orogen,orogen,orogen,orogen shallow,shallow low
2409,103.75,37,64.0599976,61,4.75,2.5,3.288934426,4.805327869,3.131829652,4.575788495,shallow,shallow_<100_mm/a,low,49367358851,P-,orogen,orogen,orogen,orogen,orogen shallow,shallow low
2408,101.25,37,69.5999985,65.5,-0.611111111,2.5,3.267599661,4.679813401,3.075111816,4.404134833,shallow,shallow_<100_mm/a,low,49367358851,R2,orogen,orogen,orogen,orogen,orogen shallow,shallow low
2407,98.75,37,59.5699997,57.1300011,-2.85,2.5,3.844302394,5.463416664,3.686839031,5.23963407,shallow,shallow_<100_mm/a,low,49367358851,R2,orogen,orogen,orogen,orogen,orogen shallow,shallow low
2406,96.25,37,40,40,1.45,2.5,5.221875,7.534375,5.221875,7.534375,major,major_<2_mm/a,low,49367358851,R2,orogen,orogen,orogen,orogen,orogen major,major low
2405,93.75,37,42,42,1.684210526,2.5,4.959273183,7.161654135,4.959273183,7.161654135,major,major_<2_mm/a,low,49367358851,R2,orogen,orogen,orogen,orogen,orogen major,major low
2404,91.25,37,60.1199989,59.2599983,-3.85,2.5,3.748312629,5.309230662,3.694694013,5.233283529,major,major_<2_mm/a,low,49367358851,R2,orogen,orogen,orogen,orogen,orogen major,major low
2403,88.75,37,58.3800011,56.4000015,-6.85,2.5,4.07136514,5.711436018,3.933281872,5.51772857,major,major_<2_mm/a,low,49367358851,R2,orogen,orogen,orogen,orogen,orogen major,major low
2402,86.25,37,61.1399994,56.1300011,-3.9,2.5,3.959558091,5.607518151,3.635099807,5.148020986,shallow,shallow_<100_mm/a,low,49367358851,R2,orogen,orogen,orogen,orogen,orogen shallow,shallow low
2401,83.75,37,61.6100006,62.6899986,3.45,2.5,3.252113647,4.727628116,3.309121864,4.810501495,major,major_<2_mm/a,low,49367358851,P-,orogen,orogen,orogen,orogen,orogen major,major low
2400,81.25,37,59.4199982,64,8.45,2.5,2.990234375,4.435546875,3.220717028,4.777431986,major,major_<2_mm/a,low,49367358851,P-,orogen,orogen,orogen,orogen,orogen major,major low
