x,similarity,locality,primer
0.346,0.250514192,FennoScandian Shield,v6
0.068,0.577959956,FennoScandian Shield,v6
0.058,0.580666447,FennoScandian Shield,v6
0.019,0.557456368,FennoScandian Shield,v6
8437.426088,0.020864382,different regions,different primers
8437.426088,0.043254377,different regions,different primers
8437.426088,0.037136706,different regions,different primers
8437.426088,0.041522491,different regions,different primers
8437.426088,0.044891641,different regions,different primers
8437.426088,0.041214751,different regions,different primers
8437.426088,0.061051857,different regions,different primers
8437.426088,0.064050677,different regions,different primers
8437.426088,0.032195393,different regions,different primers
7168.368635,0.002610966,different regions,different primers
7580.591277,0.033516149,different regions,different primers
7580.591277,0.033033033,different regions,different primers
7580.591277,0.027018729,different regions,different primers
7580.591277,0.031572905,different regions,different primers
7580.591277,0.01625508,different regions,different primers
7580.591277,0.018113679,different regions,different primers
9929.14603,0.485745218,different regions,v6
9929.14603,0.483772982,different regions,v6
9731.079829,0.545423786,different regions,v6
9934.233625,0.543642612,different regions,v6
9900.272406,0.539956172,different regions,v6
9554.223656,0.525398701,different regions,v6
9730.357717,0.536789298,different regions,v6
1977.090527,0.008980115,different regions,different primers
1977.090527,0.006462036,different regions,different primers
1977.090527,0.008368201,different regions,different primers
1977.246899,0.011545863,different regions,different primers
1977.246899,0.011538462,different regions,different primers
1977.246899,0.013375796,different regions,different primers
1977.246899,0.012183392,different regions,different primers
1977.090527,0.01521877,different regions,different primers
1977.090527,0.012710518,different regions,different primers
1977.090527,0.011508951,different regions,different primers
1977.246899,0.017077799,different regions,different primers
1977.246899,0.014607812,different regions,different primers
1977.246899,0.020728643,different regions,different primers
1977.246899,0.016507937,different regions,different primers
0.052,0.04181601,FennoScandian Shield,different primers
0.02,0.029712163,FennoScandian Shield,different primers
0.502,0.573476703,FennoScandian Shield,v6
0.226,0.563865412,FennoScandian Shield,v6
0.288,0.674506388,FennoScandian Shield,v6
0.375,0.607649957,FennoScandian Shield,v6
0.451,0.579562942,FennoScandian Shield,v6
0.239,0.585632099,FennoScandian Shield,v6
0.458,0.290396341,FennoScandian Shield,v6
0.105,0.252262443,FennoScandian Shield,v6
0.383,0.619012528,FennoScandian Shield,v6
0.393,0.59901599,FennoScandian Shield,v6
0.47,0.547760475,FennoScandian Shield,v6
8437.426088,0.017908875,different regions,different primers
8437.426088,0.03791031,different regions,different primers
8437.426088,0.03030303,different regions,different primers
8437.426088,0.035246487,different regions,different primers
8437.426088,0.042149143,different regions,different primers
8437.426088,0.036319613,different regions,different primers
8437.426088,0.054761905,different regions,different primers
8437.426088,0.05844898,different regions,different primers
8437.426088,0.031644005,different regions,different primers
7168.368635,0.003422704,different regions,different primers
7580.591277,0.036519871,different regions,different primers
7580.591277,0.045068929,different regions,different primers
7580.591277,0.0324412,different regions,different primers
7580.591277,0.03515028,different regions,different primers
7580.591277,0.019225488,different regions,different primers
7580.591277,0.020307355,different regions,different primers
9929.14603,0.486965241,different regions,v6
9929.14603,0.487979692,different regions,v6
9731.079829,0.633716354,different regions,v6
9934.233625,0.532098371,different regions,v6
9900.272406,0.626320845,different regions,v6
9554.223656,0.557527031,different regions,v6
9730.357717,0.556835877,different regions,v6
1977.090527,0.005617978,different regions,different primers
1977.090527,0.004523608,different regions,different primers
1977.090527,0.00563539,different regions,different primers
1977.246899,0.006741573,different regions,different primers
1977.246899,0.007860752,different regions,different primers
1977.246899,0.007816862,different regions,different primers
1977.246899,0.00673968,different regions,different primers
1977.090527,0.014460512,different regions,different primers
1977.090527,0.012259682,different regions,different primers
1977.090527,0.010084034,different regions,different primers
1977.246899,0.013873474,different regions,different primers
1977.246899,0.011138959,different regions,different primers
1977.246899,0.015444015,different regions,different primers
1977.246899,0.013363029,different regions,different primers
0.399,0.043271768,FennoScandian Shield,different primers
0.471,0.032126327,FennoScandian Shield,different primers
0.263,0.604996008,FennoScandian Shield,v6
0.013,0.572831424,FennoScandian Shield,v6
0.049,0.6041326,FennoScandian Shield,v6
0.136,0.616229046,FennoScandian Shield,v6
0.212,0.587659776,FennoScandian Shield,v6
0.239,0.585632099,FennoScandian Shield,v6
0.219,0.28945662,FennoScandian Shield,v6
0.134,0.245382073,FennoScandian Shield,v6
0.144,0.585748792,FennoScandian Shield,v6
0.154,0.6372379,FennoScandian Shield,v6
0.231,0.591957811,FennoScandian Shield,v6
8437.426088,0.02530253,different regions,different primers
8437.426088,0.041296519,different regions,different primers
8437.426088,0.036527396,different regions,different primers
8437.426088,0.044081228,different regions,different primers
8437.426088,0.05677171,different regions,different primers
8437.426088,0.047871,different regions,different primers
8437.426088,0.069592586,different regions,different primers
8437.426088,0.07880617,different regions,different primers
8437.426088,0.040164779,different regions,different primers
7168.368635,0.002391629,different regions,different primers
7580.591277,0.039292731,different regions,different primers
7580.591277,0.042647466,different regions,different primers
7580.591277,0.034482759,different regions,different primers
7580.591277,0.038247012,different regions,different primers
7580.591277,0.020689655,different regions,different primers
7580.591277,0.017226529,different regions,different primers
9929.14603,0.531341233,different regions,v6
9929.14603,0.530905753,different regions,v6
9731.079829,0.560400517,different regions,v6
9934.233625,0.610719554,different regions,v6
9900.272406,0.572831883,different regions,v6
9554.223656,0.571955196,different regions,v6
9730.357717,0.569877016,different regions,v6
1977.090527,0.008237717,different regions,different primers
1977.090527,0.007701422,different regions,different primers
1977.090527,0.008854782,different regions,different primers
1977.246899,0.008826125,different regions,different primers
1977.246899,0.00999706,different regions,different primers
1977.246899,0.00935399,different regions,different primers
1977.246899,0.011176471,different regions,different primers
1977.090527,0.019213974,different regions,different primers
1977.090527,0.014002334,different regions,different primers
1977.090527,0.012320329,different regions,different primers
1977.246899,0.016264885,different regions,different primers
1977.246899,0.014577259,different regions,different primers
1977.246899,0.02020202,different regions,different primers
1977.246899,0.015738852,different regions,different primers
0.16,0.045742629,FennoScandian Shield,different primers
0.232,0.034168565,FennoScandian Shield,different primers
0.044,0.31703854,FennoScandian Shield,v6
0.232,0.270720533,FennoScandian Shield,v6
0.17,0.289002558,FennoScandian Shield,v6
0.083,0.293847332,FennoScandian Shield,v6
0.007,0.287752355,FennoScandian Shield,v6
0.458,0.290396341,FennoScandian Shield,v6
0.219,0.28945662,FennoScandian Shield,v6
0.353,0.42142399,FennoScandian Shield,v6
0.075,0.2954516,FennoScandian Shield,v6
0.065,0.288327058,FennoScandian Shield,v6
0.012,0.262533166,FennoScandian Shield,v6
8437.426088,0.025375344,different regions,different primers
8437.426088,0.04678585,different regions,different primers
8437.426088,0.038113949,different regions,different primers
8437.426088,0.04326642,different regions,different primers
8437.426088,0.046095238,different regions,different primers
8437.426088,0.041485579,different regions,different primers
8437.426088,0.071931885,different regions,different primers
8437.426088,0.074819328,different regions,different primers
8437.426088,0.037773759,different regions,different primers
7168.368635,0.003154574,different regions,different primers
7580.591277,0.04338488,different regions,different primers
7580.591277,0.039965986,different regions,different primers
7580.591277,0.028503563,different regions,different primers
7580.591277,0.047756278,different regions,different primers
7580.591277,0.017931336,different regions,different primers
7580.591277,0.021853147,different regions,different primers
9929.14603,0.235685367,different regions,v6
9929.14603,0.249311836,different regions,v6
9731.079829,0.25861359,different regions,v6
9934.233625,0.26410898,different regions,v6
9900.272406,0.283976153,different regions,v6
9554.223656,0.286275473,different regions,v6
9730.357717,0.269241229,different regions,v6
1977.090527,0.005342832,different regions,different primers
1977.090527,0.003132692,different regions,different primers
1977.090527,0.003570632,different regions,different primers
1977.246899,0.005788068,different regions,different primers
1977.246899,0.004895416,different regions,different primers
1977.246899,0.006202924,different regions,different primers
1977.246899,0.006231916,different regions,different primers
1977.090527,0.015017668,different regions,different primers
1977.090527,0.00973236,different regions,different primers
1977.090527,0.005775211,different regions,different primers
1977.246899,0.010141093,different regions,different primers
1977.246899,0.009285872,different regions,different primers
1977.246899,0.01228609,different regions,different primers
1977.246899,0.012820513,different regions,different primers
0.059,0.050825921,FennoScandian Shield,different primers
0.013,0.029098806,FennoScandian Shield,different primers
0.397,0.219967087,FennoScandian Shield,v6
0.121,0.26364617,FennoScandian Shield,v6
0.183,0.23229246,FennoScandian Shield,v6
0.27,0.251424231,FennoScandian Shield,v6
0.346,0.250514192,FennoScandian Shield,v6
0.105,0.252262443,FennoScandian Shield,v6
0.134,0.245382073,FennoScandian Shield,v6
0.353,0.42142399,FennoScandian Shield,v6
0.278,0.264128957,FennoScandian Shield,v6
0.288,0.253492194,FennoScandian Shield,v6
0.365,0.235575876,FennoScandian Shield,v6
8437.426088,0.027764924,different regions,different primers
8437.426088,0.046096654,different regions,different primers
8437.426088,0.034892942,different regions,different primers
8437.426088,0.04369879,different regions,different primers
8437.426088,0.041014169,different regions,different primers
8437.426088,0.040898156,different regions,different primers
8437.426088,0.050895382,different regions,different primers
8437.426088,0.05301849,different regions,different primers
8437.426088,0.03237858,different regions,different primers
7168.368635,0.005347594,different regions,different primers
7580.591277,0.064176245,different regions,different primers
7580.591277,0.063670412,different regions,different primers
7580.591277,0.048473097,different regions,different primers
7580.591277,0.065502183,different regions,different primers
7580.591277,0.0159601,different regions,different primers
7580.591277,0.024900398,different regions,different primers
9929.14603,0.212971481,different regions,v6
9929.14603,0.195613515,different regions,v6
9731.079829,0.199279203,different regions,v6
9934.233625,0.220492866,different regions,v6
9900.272406,0.203503805,different regions,v6
9554.223656,0.211903908,different regions,v6
9730.357717,0.21353949,different regions,v6
1977.090527,0.009355509,different regions,different primers
1977.090527,0.005260389,different regions,different primers
